128, 816, 6.38
256, 1544, 6.03
512, 3022, 5.90
1024, 5982, 5.84
2048, 11926, 5.82
4096, 23750, 5.80
8192, 47438, 5.79
16384, 94750, 5.78
128, 798, 6.23
256, 1550, 6.05
512, 3022, 5.90
1024, 5982, 5.84
2048, 11932, 5.83
4096, 23778, 5.81
8192, 47408, 5.79
16384, 94736, 5.78
128, 804, 6.28
256, 1542, 6.02
512, 3026, 5.91
1024, 5992, 5.85
2048, 11918, 5.82
4096, 23758, 5.80
8192, 47420, 5.79
16384, 94786, 5.79
128, 806, 6.30
256, 1542, 6.02
512, 3026, 5.91
1024, 5982, 5.84
2048, 11908, 5.81
4096, 23760, 5.80
8192, 47450, 5.79
16384, 94716, 5.78
128, 802, 6.27
256, 1546, 6.04
512, 3024, 5.91
1024, 5978, 5.84
2048, 11932, 5.83
4096, 23744, 5.80
8192, 47428, 5.79
16384, 94736, 5.78
128, 804, 6.28
256, 1542, 6.02
512, 3024, 5.91
1024, 5980, 5.84
2048, 11916, 5.82
4096, 23754, 5.80
8192, 47428, 5.79
16384, 94728, 5.78
128, 804, 6.28
256, 1544, 6.03
512, 3018, 5.89
1024, 6008, 5.87
2048, 11938, 5.83
4096, 23750, 5.80
8192, 47430, 5.79
16384, 94756, 5.78
128, 804, 6.28
256, 1544, 6.03
512, 3022, 5.90
1024, 6030, 5.89
2048, 11918, 5.82
4096, 23778, 5.81
8192, 47414, 5.79
16384, 94780, 5.78
128, 798, 6.23
256, 1546, 6.04
512, 3024, 5.91
1024, 5984, 5.84
2048, 11900, 5.81
4096, 23752, 5.80
8192, 47428, 5.79
16384, 94686, 5.78
128, 802, 6.27
256, 1544, 6.03
512, 3020, 5.90
1024, 5978, 5.84
2048, 11920, 5.82
4096, 23738, 5.80
8192, 47470, 5.79
16384, 94734, 5.78
128, 806, 6.30
256, 1544, 6.03
512, 3022, 5.90
1024, 5994, 5.85
2048, 11928, 5.82
4096, 23774, 5.80
8192, 47446, 5.79
16384, 94728, 5.78
