128, 128, 3206, 25.05
128, 256, 6360, 24.84
128, 512, 12708, 24.82
128, 1024, 25446, 24.85
128, 2048, 50892, 24.85
128, 4096, 98628, 24.08
128, 8192, 194054, 23.69
128, 16384, 385138, 23.51
256, 128, 6326, 49.42
256, 256, 9554, 37.32
256, 512, 15898, 31.05
256, 1024, 28650, 27.98
256, 2048, 54136, 26.43
256, 4096, 101858, 24.87
256, 8192, 197220, 24.07
256, 16384, 388228, 23.70
512, 128, 12578, 98.27
512, 256, 15786, 61.66
512, 512, 22142, 43.25
512, 1024, 34920, 34.10
512, 2048, 60290, 29.44
512, 4096, 108034, 26.38
512, 8192, 203470, 24.84
512, 16384, 394672, 24.09
1024, 128, 25138, 196.39
1024, 256, 28322, 110.63
1024, 512, 34692, 67.76
1024, 1024, 47432, 46.32
1024, 2048, 72860, 35.58
1024, 4096, 120554, 29.43
1024, 8192, 215978, 26.36
1024, 16384, 406998, 24.84
128, 128, 3206, 25.05
128, 256, 6384, 24.94
128, 512, 12726, 24.86
128, 1024, 25458, 24.86
128, 2048, 50828, 24.82
128, 4096, 98636, 24.08
128, 8192, 194088, 23.69
128, 16384, 385068, 23.50
256, 128, 6334, 49.48
256, 256, 9490, 37.07
256, 512, 15904, 31.06
256, 1024, 28620, 27.95
256, 2048, 54078, 26.41
256, 4096, 101792, 24.85
256, 8192, 197328, 24.09
256, 16384, 388248, 23.70
512, 128, 12654, 98.86
512, 256, 15806, 61.74
512, 512, 22152, 43.27
512, 1024, 34868, 34.05
512, 2048, 60316, 29.45
512, 4096, 108082, 26.39
512, 8192, 203580, 24.85
512, 16384, 394960, 24.11
1024, 128, 25124, 196.28
1024, 256, 28328, 110.66
1024, 512, 34690, 67.75
1024, 1024, 47430, 46.32
1024, 2048, 72884, 35.59
1024, 4096, 120748, 29.48
1024, 8192, 216294, 26.40
1024, 16384, 407312, 24.86
128, 128, 3206, 25.05
128, 256, 6396, 24.98
128, 512, 12706, 24.82
128, 1024, 25468, 24.87
128, 2048, 50958, 24.88
128, 4096, 98694, 24.10
128, 8192, 194316, 23.72
128, 16384, 385042, 23.50
256, 128, 6326, 49.42
