128, 128, 1158, 9.05
128, 256, 2286, 8.93
128, 512, 4466, 8.72
128, 1024, 7768, 7.59
128, 2048, 14354, 7.01
128, 4096, 27486, 6.71
128, 8192, 53744, 6.56
128, 16384, 107320, 6.55
256, 128, 2248, 17.56
256, 256, 3358, 13.12
256, 512, 5546, 10.83
256, 1024, 8856, 8.65
256, 2048, 15420, 7.53
256, 4096, 28540, 6.97
256, 8192, 54864, 6.70
256, 16384, 108384, 6.62
512, 128, 4438, 34.67
512, 256, 5528, 21.59
512, 512, 7714, 15.07
512, 1024, 11030, 10.77
512, 2048, 17606, 8.60
512, 4096, 30744, 7.51
512, 8192, 57028, 6.96
512, 16384, 110614, 6.75
1024, 128, 7664, 59.88
1024, 256, 8780, 34.30
1024, 512, 11008, 21.50
1024, 1024, 14292, 13.96
1024, 2048, 20896, 10.20
1024, 4096, 34018, 8.31
1024, 8192, 60302, 7.36
1024, 16384, 113894, 6.95
128, 128, 1160, 9.06
128, 256, 2284, 8.92
128, 512, 4466, 8.72
128, 1024, 7746, 7.56
128, 2048, 14330, 7.00
128, 4096, 27492, 6.71
128, 8192, 53720, 6.56
128, 16384, 107282, 6.55
256, 128, 2270, 17.73
256, 256, 3364, 13.14
256, 512, 5540, 10.82
256, 1024, 8850, 8.64
256, 2048, 15418, 7.53
256, 4096, 28588, 6.98
256, 8192, 54834, 6.69
256, 16384, 108388, 6.62
512, 128, 4430, 34.61
512, 256, 5528, 21.59
512, 512, 7728, 15.09
512, 1024, 11022, 10.76
512, 2048, 17602, 8.59
512, 4096, 30754, 7.51
512, 8192, 57002, 6.96
512, 16384, 110546, 6.75
1024, 128, 7694, 60.11
1024, 256, 8794, 34.35
1024, 512, 11000, 21.48
1024, 1024, 14290, 13.96
1024, 2048, 20868, 10.19
1024, 4096, 34066, 8.32
1024, 8192, 60308, 7.36
1024, 16384, 113852, 6.95
128, 128, 1160, 9.06
128, 256, 2280, 8.91
128, 512, 4468, 8.73
128, 1024, 7746, 7.56
128, 2048, 14328, 7.00
128, 4096, 27454, 6.70
128, 8192, 53726, 6.56
128, 16384, 107264, 6.55
256, 128, 2240, 17.50
256, 256, 3356, 13.11
256, 512, 5546, 10.83
256, 1024, 8844, 8.64
256, 2048, 15422, 7.53
256, 4096, 28518, 6.96
256, 8192, 54850, 6.70
256, 16384, 108428, 6.62
512, 128, 4422, 34.55
512, 256, 5528, 21.59
512, 512, 7728, 15.09
512, 1024, 11036, 10.78
512, 2048, 17592, 8.59
512, 4096, 30746, 7.51
512, 8192, 57032, 6.96
512, 16384, 110574, 6.75
1024, 128, 7682, 60.02
1024, 256, 8788, 34.33
1024, 512, 11000, 21.48
1024, 1024, 14308, 13.97
1024, 2048, 20874, 10.19
1024, 4096, 34046, 8.31
1024, 8192, 60324, 7.36
1024, 16384, 113888, 6.95
128, 128, 1160, 9.06
128, 256, 2282, 8.91
128, 512, 4458, 8.71
128, 1024, 7762, 7.58
128, 2048, 14320, 6.99
128, 4096, 27474, 6.71
128, 8192, 53714, 6.56
128, 16384, 107252, 6.55
256, 128, 2246, 17.55
256, 256, 3354, 13.10
256, 512, 5540, 10.82
256, 1024, 8848, 8.64
256, 2048, 15422, 7.53
256, 4096, 28594, 6.98
256, 8192, 54842, 6.69
256, 16384, 108420, 6.62
512, 128, 4434, 34.64
