128, 128, 3298, 25.77
128, 256, 6522, 25.48
128, 512, 12970, 25.33
128, 1024, 25870, 25.26
128, 2048, 51598, 25.19
128, 4096, 100084, 24.43
128, 8192, 196748, 24.02
128, 16384, 390516, 23.84
256, 128, 6498, 50.77
256, 256, 9744, 38.06
256, 512, 16198, 31.64
256, 1024, 29126, 28.44
256, 2048, 54930, 26.82
256, 4096, 103318, 25.22
256, 8192, 200070, 24.42
256, 16384, 393672, 24.03
512, 128, 12922, 100.95
512, 256, 16184, 63.22
512, 512, 22638, 44.21
512, 1024, 35560, 34.73
512, 2048, 61350, 29.96
512, 4096, 109694, 26.78
512, 8192, 206456, 25.20
512, 16384, 399842, 24.40
1024, 128, 25774, 201.36
1024, 256, 29064, 113.53
1024, 512, 35496, 69.33
1024, 1024, 48412, 47.28
1024, 2048, 74264, 36.26
1024, 4096, 122580, 29.93
1024, 8192, 219340, 26.77
1024, 16384, 412894, 25.20
128, 128, 3298, 25.77
128, 256, 6518, 25.46
128, 512, 12968, 25.33
128, 1024, 25854, 25.25
128, 2048, 51682, 25.24
128, 4096, 100116, 24.44
128, 8192, 196794, 24.02
128, 16384, 390284, 23.82
256, 128, 6510, 50.86
256, 256, 9756, 38.11
256, 512, 16192, 31.62
256, 1024, 29140, 28.46
256, 2048, 54930, 26.82
256, 4096, 103258, 25.21
256, 8192, 200020, 24.42
256, 16384, 393602, 24.02
512, 128, 12916, 100.91
512, 256, 16180, 63.20
512, 512, 22628, 44.20
512, 1024, 35542, 34.71
512, 2048, 61332, 29.95
512, 4096, 109726, 26.79
512, 8192, 206430, 25.20
512, 16384, 400102, 24.42
1024, 128, 25764, 201.28
1024, 256, 29092, 113.64
1024, 512, 35492, 69.32
1024, 1024, 48442, 47.31
1024, 2048, 74246, 36.25
1024, 4096, 122626, 29.94
1024, 8192, 219368, 26.78
1024, 16384, 412886, 25.20
128, 128, 3290, 25.70
128, 256, 6512, 25.44
128, 512, 12948, 25.29
128, 1024, 25892, 25.29
128, 2048, 51680, 25.23
128, 4096, 100098, 24.44
128, 8192, 196862, 24.03
128, 16384, 390486, 23.83
256, 128, 6506, 50.83
256, 256, 9744, 38.06
256, 512, 16184, 31.61
256, 1024, 29094, 28.41
256, 2048, 54880, 26.80
256, 4096, 103270, 25.21
256, 8192, 199976, 24.41
256, 16384, 393550, 24.02
512, 128, 12938, 101.08
512, 256, 16170, 63.16
512, 512, 22626, 44.19
512, 1024, 35542, 34.71
512, 2048, 61344, 29.95
512, 4096, 109700, 26.78
512, 8192, 206414, 25.20
512, 16384, 400158, 24.42
1024, 128, 25784, 201.44
1024, 256, 29072, 113.56
1024, 512, 35532, 69.40
1024, 1024, 48396, 47.26
1024, 2048, 74214, 36.24
1024, 4096, 122578, 29.93
1024, 8192, 219314, 26.77
1024, 16384, 412782, 25.19
128, 128, 3294, 25.73
128, 256, 6524, 25.48
128, 512, 12966, 25.32
128, 1024, 25882, 25.28
128, 2048, 51654, 25.22
128, 4096, 100084, 24.43
128, 8192, 196894, 24.03
