128, 128, 3296, 25.75
128, 256, 6518, 25.46
128, 512, 12968, 25.33
128, 1024, 25888, 25.28
128, 2048, 51674, 25.23
128, 4096, 100070, 24.43
128, 8192, 196962, 24.04
128, 16384, 390388, 23.83
256, 128, 6496, 50.75
256, 256, 9754, 38.10
256, 512, 16212, 31.66
256, 1024, 29130, 28.45
256, 2048, 54928, 26.82
256, 4096, 103314, 25.22
256, 8192, 200168, 24.43
256, 16384, 393868, 24.04
512, 128, 12950, 101.17
512, 256, 16202, 63.29
512, 512, 22644, 44.23
512, 1024, 35558, 34.72
512, 2048, 61336, 29.95
512, 4096, 109700, 26.78
512, 8192, 206426, 25.20
512, 16384, 400330, 24.43
1024, 128, 25798, 201.55
1024, 256, 29070, 113.55
1024, 512, 35552, 69.44
1024, 1024, 48440, 47.30
1024, 2048, 74262, 36.26
1024, 4096, 122638, 29.94
1024, 8192, 219456, 26.79
1024, 16384, 413198, 25.22
128, 128, 3298, 25.77
128, 256, 6532, 25.52
128, 512, 12962, 25.32
128, 1024, 25888, 25.28
128, 2048, 51644, 25.22
128, 4096, 99982, 24.41
128, 8192, 196786, 24.02
128, 16384, 390526, 23.84
256, 128, 6524, 50.97
256, 256, 9756, 38.11
256, 512, 16216, 31.67
256, 1024, 29134, 28.45
256, 2048, 54934, 26.82
256, 4096, 103278, 25.21
256, 8192, 200168, 24.43
256, 16384, 393720, 24.03
512, 128, 12916, 100.91
512, 256, 16194, 63.26
512, 512, 22636, 44.21
512, 1024, 35568, 34.73
512, 2048, 61412, 29.99
512, 4096, 109816, 26.81
512, 8192, 206720, 25.23
512, 16384, 400562, 24.45
1024, 128, 25814, 201.67
1024, 256, 29106, 113.70
1024, 512, 35534, 69.40
1024, 1024, 48464, 47.33
1024, 2048, 74258, 36.26
1024, 4096, 122684, 29.95
1024, 8192, 219582, 26.80
1024, 16384, 413400, 25.23
128, 128, 3302, 25.80
128, 256, 6528, 25.50
128, 512, 12966, 25.32
128, 1024, 25876, 25.27
128, 2048, 51642, 25.22
128, 4096, 100106, 24.44
128, 8192, 197070, 24.06
128, 16384, 390814, 23.85
256, 128, 6506, 50.83
256, 256, 9758, 38.12
256, 512, 16202, 31.64
256, 1024, 29146, 28.46
256, 2048, 54934, 26.82
256, 4096, 103374, 25.24
256, 8192, 200262, 24.45
256, 16384, 393896, 24.04
512, 128, 12940, 101.09
512, 256, 16192, 63.25
512, 512, 22638, 44.21
512, 1024, 35556, 34.72
512, 2048, 61334, 29.95
512, 4096, 109826, 26.81
512, 8192, 206658, 25.23
512, 16384, 400404, 24.44
1024, 128, 25826, 201.77
1024, 256, 29080, 113.59
1024, 512, 35526, 69.39
1024, 1024, 48450, 47.31
1024, 2048, 74228, 36.24
1024, 4096, 122570, 29.92
1024, 8192, 219384, 26.78
1024, 16384, 413292, 25.23
128, 128, 3298, 25.77
128, 256, 6524, 25.48
128, 512, 12978, 25.35
128, 1024, 25906, 25.30
128, 2048, 51704, 25.25
128, 4096, 100126, 24.44
128, 8192, 196712, 24.01
128, 16384, 390510, 23.83
256, 128, 6518, 50.92
256, 256, 9764, 38.14
