128, 128, 1164, 9.09
128, 256, 2286, 8.93
128, 512, 4476, 8.74
128, 1024, 8868, 8.66
128, 2048, 17708, 8.65
128, 4096, 34158, 8.34
128, 8192, 67004, 8.18
128, 16384, 133072, 8.12
256, 128, 2272, 17.75
256, 256, 3380, 13.20
256, 512, 5576, 10.89
256, 1024, 9970, 9.74
256, 2048, 18778, 9.17
256, 4096, 35328, 8.62
256, 8192, 68332, 8.34
256, 16384, 134488, 8.21
512, 128, 4462, 34.86
512, 256, 5572, 21.77
512, 512, 7756, 15.15
512, 1024, 12154, 11.87
512, 2048, 20990, 10.25
512, 4096, 37478, 9.15
512, 8192, 70444, 8.60
512, 16384, 136678, 8.34
1024, 128, 8822, 68.92
1024, 256, 9928, 38.78
1024, 512, 12116, 23.66
1024, 1024, 16500, 16.11
1024, 2048, 25370, 12.39
1024, 4096, 41900, 10.23
1024, 8192, 74930, 9.15
1024, 16384, 140610, 8.58
128, 128, 1178, 9.20
128, 256, 2288, 8.94
128, 512, 4474, 8.74
128, 1024, 8860, 8.65
128, 2048, 17700, 8.64
128, 4096, 34132, 8.33
128, 8192, 66980, 8.18
128, 16384, 133030, 8.12
256, 128, 2274, 17.77
256, 256, 3380, 13.20
256, 512, 5570, 10.88
256, 1024, 9972, 9.74
256, 2048, 18802, 9.18
256, 4096, 35330, 8.63
256, 8192, 68330, 8.34
256, 16384, 134596, 8.22
512, 128, 4454, 34.80
512, 256, 5564, 21.73
512, 512, 7750, 15.14
512, 1024, 12168, 11.88
512, 2048, 20948, 10.23
512, 4096, 37500, 9.16
512, 8192, 70568, 8.61
512, 16384, 136704, 8.34
1024, 128, 8816, 68.88
1024, 256, 9924, 38.77
1024, 512, 12114, 23.66
1024, 1024, 16560, 16.17
1024, 2048, 25318, 12.36
1024, 4096, 41910, 10.23
1024, 8192, 74922, 9.15
1024, 16384, 140622, 8.58
128, 128, 1176, 9.19
128, 256, 2296, 8.97
128, 512, 4478, 8.75
128, 1024, 8874, 8.67
128, 2048, 17728, 8.66
128, 4096, 34162, 8.34
128, 8192, 66998, 8.18
128, 16384, 133176, 8.13
256, 128, 2280, 17.81
256, 256, 3380, 13.20
256, 512, 5568, 10.88
256, 1024, 9980, 9.75
256, 2048, 18776, 9.17
256, 4096, 35292, 8.62
256, 8192, 68346, 8.34
256, 16384, 134562, 8.21
512, 128, 4452, 34.78
512, 256, 5566, 21.74
512, 512, 7752, 15.14
512, 1024, 12166, 11.88
512, 2048, 20954, 10.23
512, 4096, 37444, 9.14
512, 8192, 70442, 8.60
512, 16384, 136592, 8.34
1024, 128, 8850, 69.14
1024, 256, 9924, 38.77
1024, 512, 12136, 23.70
1024, 1024, 16546, 16.16
1024, 2048, 25336, 12.37
1024, 4096, 41950, 10.24
1024, 8192, 74866, 9.14
1024, 16384, 140570, 8.58
128, 128, 1176, 9.19
128, 256, 2288, 8.94
128, 512, 4480, 8.75
128, 1024, 8866, 8.66
128, 2048, 17708, 8.65
128, 4096, 34130, 8.33
128, 8192, 67044, 8.18
128, 16384, 133026, 8.12
256, 128, 2274, 17.77
256, 256, 3366, 13.15
256, 512, 5572, 10.88
256, 1024, 9968, 9.73
256, 2048, 18796, 9.18
256, 4096, 35302, 8.62
256, 8192, 68352, 8.34
256, 16384, 134436, 8.21
512, 128, 4466, 34.89
512, 256, 5554, 21.70
512, 512, 7750, 15.14
512, 1024, 12156, 11.87
512, 2048, 20972, 10.24
512, 4096, 37494, 9.15
512, 8192, 70442, 8.60
