128, 128, 1160, 9.06
128, 256, 2262, 8.84
128, 512, 4440, 8.67
128, 1024, 7708, 7.53
128, 2048, 14272, 6.97
128, 4096, 27362, 6.68
128, 8192, 53476, 6.53
128, 16384, 106796, 6.52
256, 128, 2230, 17.42
256, 256, 3348, 13.08
256, 512, 5534, 10.81
256, 1024, 8808, 8.60
256, 2048, 15336, 7.49
256, 4096, 28400, 6.93
256, 8192, 54530, 6.66
256, 16384, 107922, 6.59
512, 128, 4384, 34.25
512, 256, 5492, 21.45
512, 512, 7702, 15.04
512, 1024, 10988, 10.73
512, 2048, 17482, 8.54
512, 4096, 30572, 7.46
512, 8192, 56750, 6.93
512, 16384, 110010, 6.71
1024, 128, 7604, 59.41
1024, 256, 8722, 34.07
1024, 512, 10954, 21.39
1024, 1024, 14216, 13.88
1024, 2048, 20746, 10.13
1024, 4096, 33832, 8.26
1024, 8192, 59984, 7.32
1024, 16384, 113312, 6.92
128, 128, 1152, 9.00
128, 256, 2264, 8.84
128, 512, 4448, 8.69
128, 1024, 7704, 7.52
128, 2048, 14254, 6.96
128, 4096, 27338, 6.67
128, 8192, 53482, 6.53
128, 16384, 106818, 6.52
256, 128, 2222, 17.36
256, 256, 3340, 13.05
256, 512, 5536, 10.81
256, 1024, 8824, 8.62
256, 2048, 15314, 7.48
256, 4096, 28424, 6.94
256, 8192, 54548, 6.66
256, 16384, 107872, 6.58
512, 128, 4374, 34.17
512, 256, 5484, 21.42
512, 512, 7686, 15.01
512, 1024, 10974, 10.72
512, 2048, 17504, 8.55
512, 4096, 30580, 7.47
512, 8192, 56760, 6.93
512, 16384, 110118, 6.72
1024, 128, 7614, 59.48
1024, 256, 8730, 34.10
1024, 512, 10948, 21.38
1024, 1024, 14218, 13.88
1024, 2048, 20778, 10.15
1024, 4096, 33862, 8.27
1024, 8192, 60002, 7.32
1024, 16384, 113364, 6.92
128, 128, 1158, 9.05
128, 256, 2264, 8.84
128, 512, 4444, 8.68
128, 1024, 7698, 7.52
128, 2048, 14248, 6.96
128, 4096, 27320, 6.67
128, 8192, 53468, 6.53
128, 16384, 106820, 6.52
256, 128, 2230, 17.42
256, 256, 3340, 13.05
256, 512, 5548, 10.84
256, 1024, 8822, 8.62
256, 2048, 15324, 7.48
256, 4096, 28398, 6.93
256, 8192, 54556, 6.66
256, 16384, 107880, 6.58
512, 128, 4380, 34.22
512, 256, 5484, 21.42
512, 512, 7706, 15.05
512, 1024, 10970, 10.71
512, 2048, 17508, 8.55
